Date,Conference,Venue,Country_or_City,Title,Authors,Format,Notes
20130324,2013年度農芸化学会,東北大学,仙台,ミドリムシ走光性における波長依存性,大岡英史、石居拓己、中村龍平、橋本和仁,Oral,
20131021,第3回 CSJ化学フェスタ,タワーホール船堀,東京,微生物オイル生産に向けたミドリムシの光運動性制御,大岡英史、石居拓己、中村龍平、橋本和仁,Poster,
20140329,電気化学会第81回大会,関西大学,吹田,水分解電極触媒における元素戦略: MnとIrの相違,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20141124,International Conference on Artificial Photosynthesis (ICARP2014),Awajishima,Japan,Charge Accumulation During Oxygen Evolution Catalysis on Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20141216,第33回固体・表面光化学討論会,京都大学,京都,光導波路分光法を用いたIrOx電極触媒における酸素発生反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20141212,第21回シンポジウム「光触媒反応の最近の展開」,University of Tokyo,Tokyo,酸素発生中におけるイリジウム酸化物の電化貯蔵プロセスの評価,大岡英史、山口晃、橋本和仁、中村龍平,Poster,
20150315,電気化学会第82回大会,横浜国立大学,横浜,In situ光導波路分光法を用いた多電子水酸化反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平,Oral,
20150921,3rd International Workshop on Microbial Life under Extreme Energy Limitation,Sandbjerg Manor,Denmark,The Asymmetry of Multi-Electron Transfer Processes at the Enzyme Gene Structure Level,"Hideshi Ooka, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,
20151126,RIKEN CSRS Interim Report,RIKEN,Japan,Bioenergetic Restrictions on the Gene Structures of Photosynthetic and Respiratory　Enzymes,Hideshi Ooka,Oral,
20160821,67th Annual Meeting of the International Electrochemical Society,Den Haag,The Netherlands,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,
20160807,CINF Summer School 2016,Gilleleje,Denmark,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,
20161102,RIKEN CSRS Interim Report,RIKEN,Japan,Differentiating Between Thermodynamic and Kinetic Rate Determining Processes for Multi-Electron Transfer Catalysis Beyond Computational Simulations,"Hideshi Ooka, Marc Koper, Ryuhei Nakamura",Poster,
20170112,The 3rd CSRS-ITbM Joint Workshop,Nagoya University,Nagoya,Probing the Optimization Criteria of Biological Catalysts based on In-Silico Genetic Analysis of Phylogenetically Diverse Enzymes,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20170223,The 2nd Solar Fuel Material Workshop,Seoul National University,Korea,Asymmetry of Oxygen Evolution and Oxygen Reduction Catalysts Revealed by a Bioinformatic Analysis of Enzymatic Genes,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20170910,電気化学会秋季大会,長崎大学,長崎,"多電子移動触媒の元素戦略：Mn,Fe,Ir酸素発生触媒のオペランド分光法に基づく3d金属触媒と5d貴金属触媒の相違",大岡英史、橋本和仁、中村龍平,Oral,
20171101,RIKEN CSRS Interim Report,RIKEN,Japan,Bioinformatics Approach for Understanding Biological Electron Transfer,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20180228,エンジニアリング・ネットワークリトリート2018,日本橋ライフサイエンスハブ,東京,Informatics Approach for Understanding Multi-Electron Transfer Regulation,大岡英史、中村龍平,Poster,
20180312,The 3rd Solar Fuel Material Forum,Osaka University,Japan,From the d-band Model to Beyond: Development Strategies for Kinetically-Favorable Multi-Electron Transfer Catalysts,"Hideshi Ooka, Ryuhei Nakamura",Oral,
20180313,The 3rd Solar Fuel Material Workshop,Osaka University,Japan,Development Strategies of Oxygen Evolution Catalysts Based on the Reaction Kinetics of Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Ryuhei Nakamura",Oral,
20181012,The 6th International Symposium on Solar Fuels and Solar Cells,Dalian,China,Element Strategy of Oxygen Evolution Catalysis Based on the Reaction Mechanism of Iridium Oxide,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20190124,第5回CSRS-ITbMジョイントワークショップ,名古屋大学,名古屋,Spectral Analysis Using Machine Learning for Advanced Catalysis Development,Hideshi Ooka,Poster,
20190623,2019 North American Catalysis Society Meeting,Chicago,USA,"Element Strategy of Oxygen Evolution Electrocatalysis Based on the Reaction Mechanism of Manganese Oxide, Iron Oxide, and Iridium Oxide","Hideshi Ooka, Ryuhei Nakamura",Oral,
20190905,電気化学会秋季大会,山梨大学,甲府,結合エネルギーから見た電極触媒の開発,大岡英史、中村龍平,Oral,
20191119,3rd International Solar Fuels Conference-Young,Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Oral,
20191120,3rd International Solar Fuels Conference/International Conference on Artificial Photosynthesis 2019 (Joint symposium),Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20191106,RIKEN CSRS Interim Report,RIKEN,Japan,Understanding Catalytic Efficiency based on the Topology of the Reaction Network,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20180605,Seminar at Nam Lab,Seoul National University,Korea,Element Strategy of Multi-Electron Transfer Catalysis: Lessons from the Oxygen Evolution Strategies of Iridium Oxide and Photosystem II,Hideshi Ooka,Invited,
20181121,第４回キャタリストインフォマティクスシンポジウム,イイノホール,東京,情報科学と電子移動論に基づく電極触媒に関する研究,大岡英史,Invited,
20190927,The 4th Solar Fuel Material Workshop,Seoul National University,Korea,Shift of the Optimum Binding Energy at Higher Rates of Catalysis,"Hideshi Ooka, Ryuhei Nakamura",Invited,
20200117,iTHEMS Weekly Meeting,RIKEN,Wako,Balancing Thermodynamics and Kinetics to Achieve Maximum Rates in Catalysis,Hideshi Ooka,Oral,
20200203,"8th ELSI Symposium ""Extending Views of Catalysis""",Tokyo Institute of Technology,Japan,From Thermodynamics to Kinetics: Predicting New Catalysts By Revisiting the Sabatier Principle,"Hideshi Ooka, Ryuhei Nakamura",Invited,基調講演（若手枠）
20211207,和光市民大学,和光市役所,和光,水の電気分解による水素製造：現状と未来,大岡英史,Invited,
20221208,セミナー #212203,技術情報協会,Online,実験データに基づく触媒反応パラメーターの推定：活性、選択性への応用,大岡英史,Invited,
20230116,CO World Kickoff Meeting,"Tokyo Institute of Technology, Earth-Life Science Institute",Tokyo,Towards Quantitative Predictions of Chemical Reaction Networks,Hideshi Ooka,Oral,
20230227,第1回分子生命反応創発討論会,金沢大学,金沢,Optimum Km to Maximize Enzymatic Activity,"Hideshi Ooka, Yoko Chiba, Ryuhei Nakamura",Poster,
20230307,創発研究者とマテリアル先端リサーチインフラの出会いの場,大阪大学産業科学研究所,大阪,非平衡状態における触媒反応ネットワーク理論の開拓,大岡英史,Poster,
20230309,触媒・酵素・エコシステムの統合理解に向けた数理実験融合,RIKEN,Wako,Analysis and Experimental Verification of Dissipative Chemical Reaction Networks Towards Understanding Sustainability,Hideshi Ooka,Invited,
20230316,Lab-Theory Standing Talk,RIKEN,Wako,Introduction as an Experimentalist Turned Theoretician,Hideshi Ooka,Oral,理論と実験の融合促進に向けた理研iTHEMSの第1回のセミナー
20230327,電気化学会第90回大会,Tohoku Institute of Technology,Sendai,酵素活性を最大化する結合性相互作用の予測,大岡英史、千葉洋子、中村龍平,Oral,
20230521,日本地球惑星科学連合2023年大会,幕張メッセ,千葉,一般的な化学反応ネットワークにおける自己触媒増幅率の予測,大岡英史,Oral,
20230616,Seminar at Exner Lab,University of Duisberg-Essen,Germany,Rationalizing the Influence of the Overpotential on the Activity and Stability of Electrocatalysts ,Hideshi Ooka,Oral,
20230620,Magneto Special Anodes,Schiedam,The Netherlands,Theoretical Requirements for Active and Stable Anode Materials,Hideshi Ooka,Oral,
20230621,Seminar at Koper Lab,Leiden University,The Netherlands,Theoretical Advancements towards Predicting the Activity and Stability of Electrocatalysts using Microkinetics and Applied Mathematics,Hideshi Ooka,Oral,
20230806,MERIT-WINGS合宿,レクトーレ湯河原,箱根,触媒理論の開拓：実験出身の理論研究者から見た研究の楽しさ,大岡英史,Invited,
20230820,10th International Congress on Industrial and Applied Mathematics,Waseda University,Tokyo,Mathematical Theory to Maximize Enzymatic Activity Under Thermodynamic Constraints,"Hideshi Ooka, Yoko Chiba, Ryuhei Nakamura",Oral,
20230904,2023年度日本数理生物学会年会,奈良女子大学,奈良,散逸化学反応ネットワークの寿命予測,大岡英史、Marie E. Wintzer、小松弘和、足立精宏、李愛龍、孔爽、橋爪大輔、望月敦史、中村龍平,Oral,
20230908,74th Annual Meeting of the International Society of Electrochemistry,Lyon,France,Predicting the Operational Lifetime of Electrocatalysis,"Hideshi Ooka, Marie E. Wintzer, Ryuhei Nakamura",Oral,
20230911,2023 Workshop on Bidirectional Catalysis From Molecular Machines to Enzymes,Paris,France,Kinetic Modeling of Enzymes and Electrocatalysts,Hideshi Ooka,Invited,
20230916,先輩の授業を受けよう,大阪教育大学附属中学校池田校舎,大阪,研究って楽しい！え、勉強も楽しいの？,大岡英史,Invited,
20231216,MRM2023,Kyoto International Conference Center,Kyoto,Theory towards Predicting the Lifetime of Electrocatalysis ,"Hideshi Ooka, Marie E. Wintzer, Hirokazu Komatsu, Kiyohiro Adachi, Ailong Li, Shuang Kong, Daisuke Hashizume, Atsushi Mochizuki, Ryuhei Nakamura",Poster,
20240213,RIKEN Discovery Evening,RIKEN,Wako,Acquiring Skills Toward Uncovering the Laws of Nature,Hideshi Ooka,Oral,
20240314,電気化学会第91回大会,名古屋大学,名古屋,活性と安定性の向上に向けた電極触媒理論の開拓,大岡英史、中村龍平,Oral,
20240321,日本化学会春季年会,日本大学,船橋,Post-Sabatierを目指した電極触媒理論の開拓：活性と安定性の両立に向けて,大岡英史、中村龍平,Oral,
